lng,lat,codigo,nombre,dept,muni
-89.1766666666667,13.7033333333333,11552,CENTRO ESCOLAR DOCTOR JOSE ANTONIO RODRIGUEZ PORTH,SAN SALVADOR,SAN SALVADOR
-89.21,13.7019444444444,20484,LICEO SALVADOREÑO,SAN SALVADOR,SAN SALVADOR
-89.2113888888889,13.6830555555556,21157,CENTRO ESCOLAR CHICOS FELICES,SAN SALVADOR,SAN SALVADOR
-89.172725,13.6948472222222,88051,COMPLEJO EDUCATIVO CATOLICO FE Y ALEGRIA,SAN SALVADOR,SAN SALVADOR
-89.2042972222222,13.6760805555556,88103,CENTRO ESCOLAR CATOLICO NUESTRA SEÑORA DE LOS DOLORES,SAN SALVADOR,SAN SALVADOR
-89.242425,13.6823361111111,88061,CENTRO ESCOLAR CATOLICO EMILIANI,SAN SALVADOR,SAN SALVADOR
-88.8950555555556,13.6317222222222,74049,CENTRO ESCOLAR CANTON LOMA LARGA,LA PAZ,SANTA MARÍA OSTUMA
-88.8505056670074,13.8390258663248,88180,CENTRO ESCOLAR CATOLICO SANTA ELENA,CABAÑAS,ILOBASCO
-88.0410277777778,13.5743888888889,13214,CENTRO ESCOLAR CANTON SAN JUAN,MORAZAN,JOCORO
-89.8039444444444,13.8592777777778,21506,COLEGIO BAUTISTA FEDERICO ERNESTO MEBIUS,AHUACHAPAN,APANECA
-89.8362777777778,13.8005277777778,60031,"CENTRO ESCOLAR CASERIO EL CHIRIZO, CANTON TEXUZIN",AHUACHAPAN,CONCEPCION DE ATACO
-89.9695555555556,13.9458611111111,60092,CENTRO ESCOLAR CANTON SAN JUAN,AHUACHAPAN,TACUBA
-89.9753333333333,13.8753611111111,60261,CENTRO ESCOLAR CASERIO LAS MERCEDES CANTON EL SINCUYO,AHUACHAPAN,TACUBA
-89.5823055555555,13.9354444444444,10433,CENTRO ESCOLAR REPUBLICA FEDERAL DE ALEMANIA,SANTA ANA,SANTA ANA
-89.5670833333333,13.934,86460,CENTRO ESCOLAR CANTON FLOR AMARILLA ABAJO,SANTA ANA,SANTA ANA
-89.5674166666667,13.5955,64033,CENTRO ESCOLAR CASERIO LOS ENCUENTROS CANTON ACACHAPA ARRIBA,SONSONATE,ISHUATÁN
-89.77225,13.6251388888889,64123,"CENTRO ESCOLAR CASERIO SAN CRISTOBAL, CANTON MIRAVALLES",SONSONATE,SONSONATE
-89.2922222222222,13.6811111111111,11029,CENTRO ESCOLAR CANTON LOURDES,LA LIBERTAD,COLÓN
-89.1788888888889,13.4638888888889,11096,CENTRO ESCOLAR CANTON LA CANGREJERA,LA LIBERTAD,LA LIBERTAD
-89.5052777777778,13.6769444444444,68191,CENTRO ESCOLAR CANTON EL MOJON,LA LIBERTAD,TEPECOYO
-89.1821694444445,13.65975,88043,COMPLEJO EDUCATIVO CATOLICO NUESTRA SEÑORA DEL ROSARIO,SAN SALVADOR,SAN MARCOS
-89.0744888888889,13.7218055555556,70063,CENTRO ESCOLAR CASERIO COMUNIDAD SAN ANDRES,SAN SALVADOR,SAN MARTÍN
-89.1579472222222,13.775875,11766,CENTRO ESCOLAR ISAURA HERNANDEZ DE MAYORA,SAN SALVADOR,CIUDAD DELGADO
-89.0569444444444,13.8161111111111,11827,COMPLEJO EDUCATIVO DOCTOR PIO ROMERO BOSQUE,CUSCATLÁN,ORATORIO DE CONCEPCIÓN
-88.9724444444444,13.8394166666667,72079,CENTRO ESCOLAR CANTON COPALCHAN,CUSCATLÁN,TENANCINGO
-88.8410833333333,13.4237222222222,12092,CENTRO ESCOLAR CASERIO LA MAGDALENA,LA PAZ,ZACATECOLUCA
-88.9018055555556,13.3078611111111,74089,CENTRO ESCOLAR CANTON EL CORDONCILLO,LA PAZ,SAN LUIS LA HERRADURA
-88.64365,13.86385,12136,CENTRO ESCOLAR CASERIO LA ANTENA CANTON TEMPISQUE,CABAÑAS,GUACOTECTI
